group,scene,CD,F-score(repo),Depth RMSE,Depth MedAE,Depth LPIPS,Depth SSIM,Depth PSNR,Intensity RMSE,Intensity MedAE,Intensity LPIPS,Intensity SSIM,Intensity PSNR,F-score@5cm(independent),test_frames
KITTI-360 Dynamic,2350,0.17741692,0.8888821,4.47705448,0.0422619,0.07313195,0.82479737,25.04554587,0.11058739,0.02904003,0.14000049,0.62392513,19.13172694,0.4545535774250314,4
KITTI-360 Dynamic,4950,0.12065119,0.919266,2.98563033,0.03085625,0.0781309,0.85750107,28.57359558,0.10470324,0.02561755,0.14984597,0.62335767,19.60093406,0.5083509577444043,4
KITTI-360 Dynamic,8120,0.06738932,0.95346636,2.32898498,0.02047646,0.0561256,0.91069358,30.74536089,0.09016316,0.02400544,0.15472229,0.7160612,20.97428847,0.6339925038249752,4
KITTI-360 Dynamic,10200,0.06535946,0.9569313,2.48815709,0.02038726,0.07002736,0.90583638,30.176983,0.09428054,0.0227402,0.13994388,0.65424687,20.54330464,0.6980608396440553,4
KITTI-360 Dynamic,10750,0.04112575,0.9683206,1.99756694,0.01737005,0.08081843,0.87697682,32.06980597,0.09712517,0.02410465,0.13747516,0.68186203,20.26334263,0.7148811655235789,4
KITTI-360 Dynamic,11400,0.1356754,0.9032789,4.19812071,0.03584701,0.06253083,0.88147004,25.60206604,0.09946627,0.03231111,0.17438904,0.64101791,20.05365942,0.4965836060980805,4
nuScenes Dynamic,450,0.16894716,0.9285682,5.99781096,0.01305026,0.05156333,0.75460809,22.58591517,0.03695018,0.00653668,0.03958689,0.76888641,28.74671642,0.7321392377591281,4
nuScenes Dynamic,1250,0.10883778,0.9670681,4.89190543,0.00311431,0.03293515,0.88794169,24.27684881,0.02337696,0.00125966,0.01448482,0.91992384,32.65965842,0.8837943574646643,4
nuScenes Dynamic,1600,0.20605475,0.8984959,5.91290379,0.02170807,0.07639002,0.67933232,22.80808185,0.05297305,0.00937132,0.05716975,0.69973969,25.59071786,0.631768158477788,4
nuScenes Dynamic,2200,0.41763747,0.8426369,8.81432939,0.04533204,0.06960682,0.65878129,19.17556059,0.05273622,0.01310027,0.05357735,0.61921141,25.56883901,0.4761020815802883,4
nuScenes Dynamic,3180,0.27455786,0.89230764,7.44822335,0.01303867,0.04560059,0.76605133,20.64958988,0.04172574,0.00463915,0.03693209,0.78971944,27.60328873,0.6702440006127318,4
KITTI-360 Static,1538,0.08665637,0.927841,2.69907153,0.03766119,0.11701803,0.84269844,29.47637243,0.11472414,0.03707983,0.20919257,0.5997585,18.81523972,0.5096239919169213,4
KITTI-360 Static,1728,0.08550862,0.91875374,2.8131398,0.03400731,0.09098903,0.8666537,29.08878621,0.10615552,0.02950106,0.17823506,0.6500576,19.48979512,0.4997698542644573,4
KITTI-360 Static,1908,0.08148628,0.94163543,2.7322681,0.0354473,0.10985011,0.82876222,29.37395316,0.11797198,0.03730635,0.18905283,0.55735881,18.57116195,0.526464020207376,4
KITTI-360 Static,3353,0.08316523,0.94088995,2.74189538,0.03444785,0.08142455,0.85323082,29.30869015,0.10936824,0.03020325,0.15296481,0.63720513,19.24071148,0.5145984394913455,4
