arm,step,subset,ray_count,gt_valid_count,gt_valid_sse,gt_valid_rmse,original_loss_total,original_loss_per_ray,final_masked_rmse,own_zero_gt_valid_rmse,tp_count,tp_sse,loss_tp,tp_rmse,fp_count,fp_sse,loss_fp,fp_rmse,fn_count,fn_sse,loss_fn,fn_rmse,tn_count,tn_sse,loss_tn,tn_rmse,delta_a_p50,delta_a_p95,delta_a_max,delta_a_nonzero_fraction,delta_I_p50,delta_I_p95,delta_I_max,delta_I_nonzero_fraction,delta_J_p50,delta_J_p95,delta_J_max,delta_J_nonzero_fraction,decoder_relative_cumulative_update,coefficient_relative_cumulative_update
T0,0,fit,2048,1835,14.684465408325195,0.08945632725954056,1.4684466123580933,0.0007170149474404752,0.0942511335015297,0.08945632725954056,1816,14.380324363708496,1.4380325078964233,0.08898696303367615,24,2.100893497467041,0.0,0.2958669066429138,19,1.71173095703125,0.030414020642638206,0.3001517951488495,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,0,probe,2048,1185,5.560485363006592,0.06850104033946991,0.556048572063446,0.0002715080918278545,0.0526886060833931,0.06850104033946991,1175,5.276392936706543,0.5276393294334412,0.06701154261827469,3,0.09302769601345062,0.0,0.17609438300132751,10,0.316009521484375,0.02840927243232727,0.1777665615081787,860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T0,1,fit,2048,1835,14.690900802612305,0.08947592228651047,1.4690901041030884,0.0007173291523940861,0.09428200870752335,0.08945632725954056,1816,14.386380195617676,1.4386380910873413,0.08900570124387741,24,2.106760025024414,0.0,0.2962796986103058,19,1.71173095703125,0.030452115461230278,0.3001517951488495,189,0.0,0.0,0.0,0.0023479461669921875,0.004119873046875,0.006893157958984375,1.0,0.0003662109375,0.0009765625,0.001953125,0.7713768601689235,0.0004612058401107788,0.0008164674043655394,0.0012516379356384277,0.99755859375,0.0012314668856561184,0.0
T0,1,probe,2048,1185,5.575128555297852,0.0685911774635315,0.5575128793716431,0.0002722230856306851,0.05275458097457886,0.06850104033946991,1175,5.290396213531494,0.5290396213531494,0.0671004056930542,3,0.0932721495628357,0.0,0.17632560431957245,10,0.316009521484375,0.028473181650042534,0.1777665615081787,860,0.0,0.0,0.0,0.0026397705078125,0.00441741943359375,0.00601959228515625,1.0,0.000244140625,0.0009765625,0.00146484375,0.6957495983539559,0.0005759000778198242,0.000882512331008911,0.0011613965034484863,1.0,0.0012314668856561184,0.0
T0,10,fit,2048,1835,14.547290802001953,0.08903751522302628,1.4547290802001953,0.0007103169336915016,0.09378502517938614,0.08945632725954056,1816,14.247658729553223,1.424765944480896,0.08857554197311401,24,2.054063320159912,0.0,0.29255080223083496,19,1.71173095703125,0.02996319904923439,0.3001517951488495,189,0.0,0.0,0.0,0.025238037109375,0.031768798828125,0.04058837890625,1.0,0.004150390625,0.007080078125,0.009765625,0.9324976538409975,0.004367068409919739,0.006222797930240631,0.007654666900634766,0.99560546875,0.05889524146914482,0.0
T0,10,probe,2048,1185,5.510310173034668,0.0681912824511528,0.5510310530662537,0.00026905813138000667,0.05247121676802635,0.06850104033946991,1175,5.231649875640869,0.5231649875640869,0.06672681868076324,3,0.09095262736082077,0.0,0.17411933839321136,10,0.316009521484375,0.02786603942513466,0.1777665615081787,860,0.0,0.0,0.0,0.024871826171875,0.0305328369140625,0.0421142578125,1.0,0.0032958984375,0.007080078125,0.009521484375,0.8717692155923222,0.004884660243988037,0.006545256078243255,0.008310437202453613,0.99853515625,0.05889524146914482,0.0
T0,50,fit,2048,1835,13.293105125427246,0.08511286228895187,1.3293105363845825,0.0006490774103440344,0.09093186259269714,0.08945632725954056,1816,13.0219144821167,1.3021914958953857,0.0846797376871109,24,2.2004566192626953,0.0,0.30279645323753357,19,1.71173095703125,0.027119068428874016,0.3001517951488495,189,0.0,0.0,0.0,0.04541015625,0.11505126953125,0.398681640625,1.0,0.005126953125,0.023193359375,0.096923828125,0.9266657728918085,0.009338155388832092,0.03268184512853621,0.09692218899726868,1.0,0.20220822095870972,0.0
T0,50,probe,2048,1185,6.065908432006836,0.07154656201601028,0.6065908670425415,0.00029618694679811597,0.0550755113363266,0.06850104033946991,1175,5.797097206115723,0.5797097086906433,0.07024029642343521,3,0.09911651164293289,0.0,0.18176589906215668,10,0.316009521484375,0.026881098747253418,0.1777665615081787,860,0.0,0.0,0.0,0.0253448486328125,0.0921630859375,0.33056640625,1.0,0.00146484375,0.01806640625,0.057373046875,0.8473885960709152,0.004406381398439407,0.026254266500473022,0.05026876926422119,1.0,0.20220822095870972,0.0
T0,100,fit,2048,1835,12.129690170288086,0.08130305260419846,1.2129690647125244,0.0005922700511291623,0.08782688528299332,0.08945632725954056,1816,11.860895156860352,1.1860895156860352,0.08081664144992828,24,2.224747896194458,0.0,0.3044631779193878,19,1.71173095703125,0.02687940001487732,0.3001517951488495,189,0.0,0.0,0.0,0.091796875,0.2431640625,0.728515625,1.0,0.0096435546875,0.04736328125,0.179443359375,0.9374715109263977,0.019029654562473297,0.059098759293556194,0.17944034934043884,1.0,0.293765127658844,0.0
T0,100,probe,2048,1185,6.966630458831787,0.07667472213506699,0.6966630816459656,0.00034016752033494413,0.05892970785498619,0.06850104033946991,1175,6.690460205078125,0.6690460443496704,0.07545865327119827,3,0.10564123839139938,0.0,0.18765325844287872,10,0.316009521484375,0.02761695347726345,0.1777665615081787,860,0.0,0.0,0.0,0.06146240234375,0.18994140625,0.56884765625,1.0,0.00347900390625,0.039794921875,0.11962890625,0.8725866005242537,0.009452782571315765,0.047451424598693774,0.10058128833770752,1.0,0.293765127658844,0.0
